Track Name,Artist,Album,Release Date,Popularity,Duration (minutes)
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,77,3.863766666666667
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,80,3.1328833333333335
In the Name of Love,"Martin Garrix, Bebe Rexha",In the Name of Love,2016-07-29,74,3.2617666666666665
Little Do You Know,Alex & Sierra,It's About Us,2014-10-06,66,3.0866666666666664
SugarCrash!,ElyOtto,SugarCrash!,2020-08-25,64,1.3346666666666667
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,2016-03-25,71,4.183883333333333
Please Don't Go,Joel Adams,Please Don't Go,2015-11-06,61,3.5096666666666665
Warrior,Demi Lovato,Demi,2013-01-01,49,3.852883333333333
The Greatest (feat. Kendrick Lamar),"Sia, Kendrick Lamar",This Is Acting (Deluxe Version),2016-10-21,64,3.5037666666666665
Burn,Ellie Goulding,Halcyon Days,2014-01-01,60,3.8535166666666667
Bezos I,Bo Burnham,Inside (The Songs),2021-06-10,0,0.96915
Rebel,"Zum, Shenseea",Liquid Sunshine Riddim,2020-09-11,54,2.2647
Fight Song,Rachel Platten,Wildfire,2016-01-01,71,3.4002166666666667
If I Can't Have You,Shawn Mendes,If I Can't Have You,2019-05-03,60,3.18
Stay,"Zedd, Alessia Cara",Stay,2017-02-23,71,3.5015
Cradles,Sub Urban,Cradles,2019-01-04,1,3.49715
Worth It (feat. Kid Ink),"Fifth Harmony, Kid Ink",Reflection (Deluxe),2015-01-30,70,3.7428833333333333
Unstoppable,Sia,This Is Acting,2016-01-29,76,3.6291
Mad at Disney,salem ilese,Mad at Disney,2020-07-24,1,2.2806333333333333
Not Your Barbie Girl,Ava Max,Not Your Barbie Girl,2018-08-13,60,3.1086666666666667
Lily,"Alan Walker, K-391, Emelie Hollow",Different World,2018-12-14,67,3.264
Heart Attack,Demi Lovato,Demi,2013-01-01,75,3.514
7 rings,Ariana Grande,"thank u, next",2019-02-08,79,2.9771
Queen,Loren Gray,Queen,2018-12-21,55,2.6740666666666666
I Like Me Better,Lauv,I met you when I was 18. (the playlist),2018-05-31,2,3.2906
Princesses Don't Cry - Nightcore Remix,CARYS,Princesses Don't Cry,2019-10-18,0,3.29355
positions,Ariana Grande,Positions,2020-10-30,75,2.8720666666666665
Sweet but Psycho,Ava Max,Heaven & Hell,2020-09-18,77,3.1239333333333335
Wildest Dreams,Taylor Swift,1989,2014-01-01,70,3.674
On & On,"Cartoon, Daniel Levi",On & On,2015-07-09,1,3.4511333333333334
"thank u, next",Ariana Grande,"thank u, next",2019-02-08,76,3.4553333333333334
Power,Little Mix,Glory Days (Expanded Edition),2016-11-18,67,4.1306666666666665
